City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
388,razole,16.4833,81.8333,23.87,80,39,2.73,IN,1706325768
389,kralendijk,12.15,-68.2667,25.99,83,20,5.66,BQ,1706325769
390,salavan,15.7167,106.4167,22.7,63,100,0.97,LA,1706325769
391,wynyard,-41.0,145.7167,15.13,80,82,7.23,AU,1706325769
392,laghouat,33.8,2.8651,12.4,32,0,1.34,DZ,1706325770
393,port moresby,-9.4431,147.1797,32.68,55,40,7.72,PG,1706325770
394,khandyga,62.6667,135.6,-23.78,85,100,1.44,RU,1706325770
395,al ghayzah,16.2079,52.176,22.28,70,15,2.62,YE,1706325770
396,lewistown,40.5992,-77.5714,12.42,87,100,0.0,US,1706325771
397,angaur state,6.906,134.13,25.29,95,100,12.46,PW,1706325771
398,gurupi,-11.7292,-49.0686,23.55,94,100,2.71,BR,1706325771
399,klaksvik,62.2266,-6.589,3.51,95,100,10.78,FO,1706325772
400,nobres,-14.7203,-56.3275,23.26,52,0,0.97,BR,1706325772
401,tafresh,34.692,50.013,1.39,96,100,1.93,IR,1706325615
402,aasiaat,68.7098,-52.8699,-28.05,99,100,2.82,GL,1706325772
403,poronaysk,49.2167,143.1167,-4.79,82,100,6.92,RU,1706325773
404,kirensk,57.7853,108.1119,-27.8,95,45,2.24,RU,1706325773
405,tralee,52.2704,-9.7026,7.06,88,100,4.01,IE,1706325773
406,hoemul-li,41.4339,129.67,-1.46,63,9,1.33,KP,1706325774
407,ndele,8.4109,20.6473,19.93,24,97,3.07,CF,1706325774
408,sibi,29.5448,67.8764,12.87,23,51,0.68,PK,1706325774
409,aykhal,66.0,111.5,-31.68,100,14,2.02,RU,1706325774
410,lanzhou,36.0564,103.7922,-4.02,37,0,0.39,CN,1706325775
411,gus'-khrustal'nyy,55.6111,40.6519,-5.21,97,100,1.43,RU,1706325775
412,el granada,37.5027,-122.4694,15.18,80,0,2.57,US,1706325613
413,masvingo,-20.0637,30.8277,14.98,78,62,1.24,ZW,1706325776
414,sidney,-33.8679,151.2073,24.06,76,100,2.24,AU,1706325494
415,petrovka,53.0503,103.1,-19.7,96,26,1.24,RU,1706325776
416,pavlogradka,54.2024,73.5592,-16.49,97,56,4.34,RU,1706325777
417,san jose de guanipa,8.8872,-64.1651,24.46,67,12,6.13,VE,1706325777
418,mata-utu,-13.2816,-176.1745,27.84,81,100,6.4,WF,1706325777
419,sao jose da coroa grande,-8.8978,-35.1478,26.5,84,100,4.52,BR,1706325777
420,arhribs,36.7936,4.3116,14.05,46,43,2.18,DZ,1706325778
421,galappo,-4.2667,35.85,16.72,98,98,1.6,TZ,1706325778
422,magadan,59.5667,150.8,-19.15,75,100,2.57,RU,1706325779
423,naliya,23.2667,68.8333,17.76,45,71,4.49,IN,1706325779
424,kobarid,46.2481,13.5772,7.05,76,1,2.83,SI,1706325779
425,charleston,32.7766,-79.9309,19.09,96,100,2.06,US,1706325414
426,yashkul',46.1711,45.3435,-1.2,95,100,2.71,RU,1706325780
427,raja,8.4596,25.678,17.34,27,23,2.41,SS,1706325780
428,gbarnga,6.9956,-9.4722,19.16,84,4,0.43,LR,1706325780
429,tallahassee,30.4383,-84.2807,19.36,94,100,2.06,US,1706325781
430,kakunodatemachi,39.5833,140.5667,3.22,81,99,5.09,JP,1706325781
431,bandarbeyla,9.4942,50.8122,24.75,89,33,2.49,SO,1706325781
432,sandpoint,48.2766,-116.5533,3.16,95,0,0.0,US,1706325781
433,calabozo,8.9242,-67.4293,27.34,52,59,2.99,VE,1706325645
434,al jahra',29.3375,47.6581,14.79,87,0,4.38,KW,1706325782
435,hovd,48.0056,91.6419,-21.43,85,8,0.29,MN,1706325782
436,qarauyl,48.9451,79.255,-11.86,85,75,4.9,KZ,1706325783
437,boyolangu,-8.1181,111.8935,29.21,73,39,1.41,ID,1706325783
438,gazli,40.1333,63.45,-1.23,70,86,6.7,UZ,1706325784
439,lethbridge,49.7,-112.8186,4.06,65,20,10.8,CA,1706325784
440,broken hill,-31.95,141.4333,25.01,23,85,5.44,AU,1706325784
441,nagqu,31.5,92.0,-14.31,62,95,1.5,CN,1706325785
442,sur,22.5667,59.5289,20.09,76,77,4.94,OM,1706325785
443,yarmouth,41.7057,-70.2286,5.08,97,100,4.47,US,1706325785
444,enterprise,36.0252,-115.2419,12.12,36,75,1.54,US,1706325786
445,kayangel,8.0823,134.7173,27.29,82,100,11.37,PW,1706325786
446,midvagur,62.0511,-7.1939,3.46,93,75,6.17,FO,1706325786
447,lompoc,34.6391,-120.4579,18.21,79,0,1.54,US,1706325786
448,leh,34.1667,77.5833,-8.6,67,26,1.39,IN,1706325787
449,balezino,57.9796,53.0106,-9.74,96,100,2.55,RU,1706325787
450,port macquarie,-31.4333,152.9167,23.27,91,100,2.44,AU,1706325557
451,porbandar,21.6422,69.6093,18.99,55,38,4.12,IN,1706325788
452,mezhdurechenskiy,59.6,65.9333,-16.72,98,99,0.5,RU,1706325788
453,zambezi,-13.5432,23.1047,17.82,78,96,0.97,ZM,1706325789
454,yangirabot,40.0254,65.961,1.59,78,100,4.46,UZ,1706325789
455,cuyo,10.8525,121.0086,25.63,75,92,12.67,PH,1706325789
456,lata,40.1629,-8.3327,9.4,71,100,1.88,PT,1706325789
457,haiku-pauwela,20.9219,-156.3051,24.47,83,75,7.72,US,1706325790
458,princeville,45.7668,-61.2985,-2.05,92,75,2.57,CA,1706325790
459,epworth,-17.89,31.1475,13.19,93,35,1.49,ZW,1706325790
460,loughrea,53.1969,-8.5669,6.52,83,100,5.49,IE,1706325645
461,olinda,-8.0089,-34.8553,27.85,83,40,2.57,BR,1706325791
462,nago,26.5881,127.9761,18.24,61,89,4.62,JP,1706325791
463,sabang,5.8933,95.3214,27.55,80,95,8.03,ID,1706325791
464,usogorsk,63.4106,48.6872,-11.3,98,92,1.34,RU,1706325792
465,lodja,-3.4833,23.4333,21.61,91,99,0.99,CD,1706325792
466,rumoi,43.9344,141.6428,-0.41,80,100,3.85,JP,1706325793
467,molina,-35.1167,-71.2833,20.85,68,60,2.57,CL,1706325793
468,aswan,24.0934,32.907,11.45,50,31,4.07,EG,1706325793
469,saint-pierre,-21.3393,55.4781,25.82,83,75,4.12,RE,1706325793
470,marysville,48.0518,-122.1771,10.2,87,100,5.66,US,1706325736
471,porto novo,6.4965,2.6036,24.9,51,100,1.91,BJ,1706325794
472,coquimbo,-29.9533,-71.3436,17.85,88,75,2.57,CL,1706325794
473,maesteg,51.6093,-3.6582,7.17,81,100,3.83,GB,1706325795
474,minas de marcona,-15.2119,-75.1103,19.24,81,24,4.38,PE,1706325795
475,heihe,50.2441,127.4902,-19.75,92,73,1.24,CN,1706325795
476,funafuti,-8.5243,179.1942,28.47,80,97,8.63,TV,1706325796
477,aban,56.67,96.06,-16.69,95,94,2.78,RU,1706325796
478,bardai,11.65,7.2333,14.6,27,3,6.36,NG,1706325796
479,ormara,25.2088,64.6357,21.99,55,66,4.13,PK,1706325796
480,figuig (centre),32.1089,-1.2286,9.38,36,0,0.65,MA,1706325797
481,labrador city,52.9463,-66.9114,-13.05,78,75,1.54,CA,1706325797
482,kristiansund,63.1115,7.732,8.36,53,75,7.2,NO,1706325797
483,ubari,26.5921,12.7805,10.3,48,0,2.34,LY,1706325798
484,hadibu,12.65,54.0333,24.14,79,7,3.48,YE,1706325798
485,businga,3.3333,20.8833,21.64,49,18,0.98,CD,1706325798
486,bac lieu,9.285,105.7244,28.5,54,12,10.24,VN,1706325798
487,al majaridah,19.1236,41.9111,21.55,85,100,2.11,SA,1706325799
488,salmon arm,50.6998,-119.3024,3.62,87,97,1.03,CA,1706325799
489,jincheng,35.5022,112.8328,-1.93,42,0,4.7,CN,1706325799
490,eyl,7.9803,49.8164,24.19,92,19,3.12,SO,1706325800
491,salalah,17.0151,54.0924,25.05,65,75,3.6,OM,1706325800
492,mermoz boabab,14.7065,-17.4758,26.31,83,5,3.09,SN,1706325800
493,freetown,8.484,-13.2299,24.84,88,8,1.54,SL,1706325801
